fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
FRANK,,MUELLER,,1967,9,27
MARTIN,,SCHWARZ,,1967,2,17
HERBERT,,ZIMMERMANN,,1961,11,6
HANS,,SCHMITT,,1945,8,14
UWE,,KELLER,,2000,7,5
DANIEL,,HEINRICH,,1967,5,6
MARTIN,,ZIMMERMANN,,1982,11,2
ANDREAS,BENJAMIN,BERGMANN,,1989,9,13
DIETER,,SCHUSTER,,1974,4,19
MANFRED,,SCHMIDT,,1979,7,11
PATRICK,,WOLF,,1988,8,22
STEFAN,,RICHTER,,1943,3,22
KLAUS,,WINKLER,,1974,8,22
GERHARD,,WALTER,,1938,8,15
WERNER,HELMUT,LORENZ,,1958,9,18
THORSTEN,,LANGE,,1965,3,29
KURT,,MUELLER,,1966,9,12
RICHARD,,SCHMIDT,,1984,1,31
ANDREAS,,SCHAEFER,,1930,4,29
KAI,,HARTMANN,,1963,11,26
GERHARD,,VOGEL,,1986,7,8
GUENTHER,,MUELLER,,1994,11,17
CARSTEN,,MUELLER,WAGNER,1957,5,27
MARCO,,ALBRECHT,,2008,11,7
PETER,,KRAEMER,,1929,8,7
PATRICK,,WEBER,,2006,12,2
WOLFGANG,ERNST,GUENTHER,,1929,10,12
JOACHIM,,KUEHN,,1994,11,21
ANDREAS,,WALTER,,1954,11,6
KURT,,SCHMITT,,1968,12,22
MARTIN,,FISCHER,,1996,7,5
GERHARD,,SCHMITT,,2000,1,31
JAN,,THOMAS,BECKER,2002,12,22
BERND,,MAIER,,1998,8,20
ANDREAS,,WEBER,,1955,3,1
CHRISTIAN,,BECK,,1967,10,3
THOMAS,,SOMMER,,1986,9,5
HORSTX,,MUELLER,,1991,9,7
MARK,,MUELLER,,1965,2,9
STEFAN,,SCHUMACHER,,1983,5,19
CHRISTOPH,,MAYER,,2006,3,29
MARKUS,,SCHULZ,,1942,9,29
HEINRICH,,HUBER,,1977,1,14
PETER,,KUHN,,1981,3,20
WOLFGANG,,KAISER,,1934,12,26
JOERG,PETER,BECK,,1996,10,8
PATRICK,,SCHMID,,1945,6,5
WERNER,,GUENTHER,,1956,1,25
MANFRED,,WEISS,,1925,11,8
JOHANNES,,MUELLER,,1974,2,24
MATTHIAS,,MUELLLER,,1993,1,24
MICHAEL,,BECKER,,1998,10,30
GERD,,LORENZ,,1940,5,23
OTTO,,SCHUMACHER,,1963,3,27
FRANK,,PETERS,,1990,7,1
BERND,,BAUER,,1929,6,4
HORST,,MUELLER,,1941,11,6
JOERG,,SCHROEDER,,1955,9,25
JOERG,,MUELLER,,1964,12,14
HELMUT,,MAIER,,1970,3,24
WALTER,,KLEIN,,2008,8,2
